WeatherPy_Database.csv,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
41,Dangtu,CN,31.5723,118.4928,91.45,56,0,6.24,clear sky
42,Ancud,CL,-41.8697,-73.8203,42.22,73,100,7.14,overcast clouds
43,Padang,ID,-0.9492,100.3543,77.05,88,100,7.38,overcast clouds
44,Pacific Grove,US,36.6177,-121.9166,76.24,85,52,7.0,broken clouds
45,Castro,BR,-24.7911,-50.0119,58.73,69,0,3.85,clear sky
46,Sabha,LY,27.0377,14.4283,84.49,30,4,10.25,clear sky
47,Lebu,CL,-37.6167,-73.65,47.7,89,86,9.89,overcast clouds
48,Saint George,US,37.1041,-113.5841,92.35,32,52,2.08,broken clouds
49,Gilbues,BR,-9.8317,-45.3439,75.18,43,48,4.47,scattered clouds
50,Isiro,CD,2.7739,27.616,65.77,94,33,0.94,scattered clouds
51,Saint-Joseph,RE,-21.3667,55.6167,62.98,81,25,9.22,light rain
52,Semnan,IR,35.5729,53.3971,84.04,21,0,4.61,clear sky
53,Butaritari,KI,3.0707,172.7902,81.77,75,23,15.79,few clouds
54,Cidreira,BR,-30.1811,-50.2056,62.06,95,100,6.11,overcast clouds
55,Clyde River,CA,70.4692,-68.5914,39.43,100,100,13.8,mist
56,Saint-Philippe,RE,-21.3585,55.7679,63.99,83,52,9.28,light rain
57,Port Elizabeth,ZA,-33.918,25.5701,57.49,94,0,14.97,clear sky
58,Khatanga,RU,71.9667,102.5,59.25,53,36,12.66,scattered clouds
59,Sao Joao Da Barra,BR,-21.6403,-41.0511,68.2,85,0,0.74,clear sky
60,Bluff,NZ,-46.6,168.3333,57.79,68,14,17.4,few clouds
61,Baculin,PH,7.4525,126.5842,85.01,67,100,2.89,overcast clouds
62,Kodiak,US,57.79,-152.4072,59.9,69,61,3.8,broken clouds
63,Tiksi,RU,71.6872,128.8694,43.23,82,100,5.3,overcast clouds
64,Faanui,PF,-16.4833,-151.75,78.48,75,17,22.73,light rain
65,Nanortalik,GL,60.1432,-45.2371,48.27,96,100,22.17,moderate rain
66,Punta Arenas,CL,-53.15,-70.9167,37.51,93,75,18.41,light intensity drizzle
67,Port Augusta,AU,-32.5,137.7667,66.06,33,1,26.98,clear sky
68,Codrington,AU,-38.2667,141.9667,57.65,63,0,18.63,clear sky
69,Halifax,CA,44.6453,-63.5724,69.69,95,75,10.36,broken clouds
70,Hudiksvall,SE,61.729,17.1036,61.52,83,18,10.31,few clouds
71,Airai,TL,-8.9266,125.4092,73.36,39,66,2.93,broken clouds
72,Port Alfred,ZA,-33.5906,26.891,58.17,91,37,5.99,scattered clouds
73,Asosa,ET,10.0667,34.5333,57.18,94,100,3.58,overcast clouds
74,Cabedelo,BR,-6.9811,-34.8339,74.07,84,43,7.56,scattered clouds
75,Kiama,AU,-34.6833,150.8667,68.0,75,100,3.0,moderate rain
76,Sheksna,RU,59.21,38.5107,57.29,88,10,3.22,clear sky
77,Dikson,RU,73.5069,80.5464,44.96,96,100,9.01,overcast clouds
78,Biltine,TD,14.5333,20.9167,78.06,65,99,9.1,overcast clouds
79,Isangel,VU,-19.55,169.2667,80.71,83,75,6.91,broken clouds
80,Talnakh,RU,69.4865,88.3972,61.21,47,98,4.38,overcast clouds
81,Keningau,MY,5.3378,116.1602,82.58,73,88,1.23,overcast clouds
82,Pisco,PE,-13.7,-76.2167,60.85,82,100,3.44,overcast clouds
83,Eureka,US,40.8021,-124.1637,70.36,75,23,8.99,few clouds
84,Hermanus,ZA,-34.4187,19.2345,45.81,84,77,9.37,broken clouds
85,Ponta Do Sol,PT,32.6667,-17.1,72.01,76,6,6.67,clear sky
86,Thompson,CA,55.7435,-97.8558,60.96,51,75,6.91,broken clouds
87,Yellowknife,CA,62.456,-114.3525,64.92,39,20,8.05,few clouds
88,Qaanaaq,GL,77.484,-69.3632,42.49,65,6,4.76,clear sky
89,Cabildo,AR,-38.4842,-61.8954,42.1,81,0,3.8,clear sky
90,Port Blair,IN,11.6667,92.75,81.57,82,100,24.61,overcast clouds
91,Norman Wells,CA,65.282,-126.8329,64.44,59,75,9.22,broken clouds
92,San Jose,US,37.3394,-121.895,89.22,48,0,11.5,clear sky
93,Puerto Ayora,EC,-0.7393,-90.3518,70.56,82,100,10.0,overcast clouds
94,Sitka,US,57.0531,-135.33,59.56,84,100,3.27,overcast clouds
95,Hami,CN,42.8,93.45,90.68,17,0,5.26,clear sky
96,Jinka,ET,5.65,36.65,63.05,76,80,3.69,broken clouds
97,Kungurtug,RU,50.5994,97.5228,67.39,49,54,0.89,broken clouds
98,Georgetown,MY,5.4112,100.3354,82.89,89,40,9.22,scattered clouds
99,Valparaiso,CL,-33.0393,-71.6273,49.64,76,75,3.44,broken clouds
