City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
350,Andros Town,BS,80.56,clear sky,24.7,-77.7667,Hanks place
358,Hamilton,US,83.23,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
362,Fukue,JP,86.36,scattered clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
363,Camocim,BR,77.43,scattered clouds,-2.9022,-40.8411,Ilha Praia Hotel
365,Cabo San Lucas,MX,89.62,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
366,Thinadhoo,MV,80.78,heavy intensity rain,0.5333,72.9333,
367,Dalbandin,PK,86.38,clear sky,28.8947,64.4101,Sanjrani House
369,Tay Ninh,VN,81.82,overcast clouds,11.3,106.1,Thanh Tuyền Hotel
371,Zhangye,CN,82.87,scattered clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
374,Ende,ID,82.08,overcast clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
375,Tuensang,IN,75.61,overcast clouds,26.2833,94.8333,B.W.D Resthouse.
376,Jiaohe,CN,81.05,clear sky,43.7286,127.3447,Home Inn Fashion Hotel
377,Razam,IN,78.53,overcast clouds,18.4667,83.6667,Taj bakery and sweets
379,Carupano,VE,75.97,overcast clouds,10.6678,-63.2585,Hotel La dorada
383,Asansol,IN,83.03,overcast clouds,23.6833,86.9833,Hotel Paras
385,Chaihe,CN,81.37,clear sky,44.7667,129.7,Holiday Inn Suifenhe
387,Progreso,MX,83.1,clear sky,21.2833,-89.6667,Playa Linda Hotel
388,Mount Isa,AU,87.57,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
390,Charleston,US,85.01,clear sky,32.7766,-79.9309,The Mills House Wyndham Grand Hotel
394,Moindou,NC,76.59,broken clouds,-21.6924,165.677,Equi-lodge de Moindou
399,Tabuk,PH,80.85,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
400,Lahij,YE,84.52,overcast clouds,13.1667,44.5833,
401,Gilgit,PK,78.66,scattered clouds,35.9221,74.3087,Tourist Hamlet Gilgit
403,Namatanai,PG,83.91,light rain,-3.6667,152.4333,Seagulls Inn Namatani
404,Suluq,LY,77.52,clear sky,31.6682,20.2521,ورشة الحضيري لاكترونات وخدمات النت
407,Tarakan,ID,83.7,scattered clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
408,Korla,CN,87.08,clear sky,41.7597,86.1469,Gulisitan Hotel
410,Cortez,US,86.76,broken clouds,37.3489,-108.5859,Sand Canyon National 9 Inn
412,Tila,MX,76.75,scattered clouds,17.4,-92.4833,
418,Semporna,MY,84.81,broken clouds,4.4818,118.6112,"Han Palace Hotel, Semporna, Sabah."
426,Sivaki,RU,82.92,overcast clouds,52.6333,126.75,
429,Mangan,IN,78.51,overcast clouds,27.5167,88.5333,Hotel Mout View
432,Scottsboro,US,78.78,overcast clouds,34.6723,-86.0341,Budget Inn
433,Pangkalanbuun,ID,82.06,light rain,-2.6833,111.6167,Grand Kecubung Hotel
434,Dangriga,BZ,80.65,clear sky,16.9692,-88.2321,Chaleanor Hotel
435,Marawi,PH,78.19,broken clouds,7.9986,124.2928,Derogongan Residence
437,Maumere,ID,81.54,overcast clouds,-8.6199,122.2111,Sylvia Hotel
438,San Patricio,US,86.18,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
441,Tiarei,PF,84.22,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
443,Cuiluan,CN,86.63,scattered clouds,47.72,128.648,Shuncheng Hotel
447,Ewa Beach,US,85.37,clear sky,21.3156,-158.0072,Base Lodging
450,College,US,75.99,scattered clouds,64.8569,-147.8028,Pike's Waterfront Lodge
453,Biak,ID,81.09,few clouds,-0.9131,122.8766,Penginapan Kim
457,Golden,US,80.22,scattered clouds,39.7555,-105.2211,"The Golden Hotel, Ascend Hotel Collection"
460,Itarema,BR,75.38,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
466,Kalmunai,LK,78.64,overcast clouds,7.4167,81.8167,VS Villa
468,Lermontovka,RU,83.8,broken clouds,47.1453,134.3383,
471,Westport,US,78.1,clear sky,41.1415,-73.3579,The Westport Inn
474,Asuncion,PY,80.04,overcast clouds,-25.3007,-57.6359,"Crowne Plaza Asuncion, an IHG Hotel"
475,Robertsport,LR,76.15,moderate rain,6.7533,-11.3686,Kwepunha Retreat
