City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
102,Dunedin,-45.8742,170.5036,49.8,74,100,3.0,NZ,2022-08-03 23:49:22
103,Tawau,4.2498,117.8871,77.13,94,76,1.01,MY,2022-08-03 23:49:23
104,Tomatlan,19.9333,-105.25,87.03,68,65,6.78,MX,2022-08-03 23:49:23
105,Vila Velha,-20.3297,-40.2925,73.35,91,40,5.75,BR,2022-08-03 23:49:23
106,Vaini,-21.2,-175.2,80.76,94,40,10.36,TO,2022-08-03 23:49:24
107,Kapchorwa,1.3965,34.4509,54.03,89,24,3.51,UG,2022-08-03 23:49:24
108,Amapala,13.2922,-87.6539,86.02,60,100,9.19,HN,2022-08-03 23:49:25
109,Gat,31.61,34.7642,84.4,82,6,2.19,IL,2022-08-03 23:49:25
110,Katsuura,35.1333,140.3,77.65,89,95,15.19,JP,2022-08-03 23:49:25
111,Saraland,30.8207,-88.0706,82.04,90,53,7.07,US,2022-08-03 23:49:25
112,Victoria,22.2855,114.1577,83.32,85,100,8.01,HK,2022-08-03 23:45:55
113,Buala,-8.145,159.5921,83.26,74,54,9.06,SB,2022-08-03 23:49:26
114,Gizo,-8.103,156.8419,83.61,68,32,6.98,SB,2022-08-03 23:49:26
115,Nanakuli,21.3906,-158.1547,85.37,51,40,14.97,US,2022-08-03 23:49:27
116,Kuusankoski,60.907,26.6244,59.52,91,0,3.44,FI,2022-08-03 23:49:28
117,Dublyany,49.9041,24.0864,58.51,83,3,3.62,UA,2022-08-03 23:49:28
118,Somerset,40.5668,-74.5496,87.75,50,0,4.12,US,2022-08-03 23:49:28
119,Mar Del Plata,-38.0023,-57.5575,50.88,91,100,5.99,AR,2022-08-03 23:44:57
120,Pangai,-19.8,-174.35,80.71,78,20,17.27,TO,2022-08-03 23:49:29
121,Pimentel,-6.8367,-79.9342,62.89,77,20,19.57,PE,2022-08-03 23:49:30
122,Trairi,-3.2778,-39.2689,75.99,83,45,8.16,BR,2022-08-03 23:48:29
123,Palu,-0.8917,119.8707,79.59,88,28,1.52,ID,2022-08-03 23:49:30
124,Lincoln,40.8,-96.667,94.91,50,0,11.5,US,2022-08-03 23:45:38
125,Abu Samrah,35.3029,37.1841,78.28,50,0,6.85,SY,2022-08-03 23:49:31
126,Kamenka,51.3223,42.7678,68.5,58,100,10.89,RU,2022-08-03 23:49:31
127,Norman Wells,65.282,-126.8329,64.44,63,75,12.66,CA,2022-08-03 23:49:32
128,Rio Grande,-32.035,-52.0986,60.91,98,100,12.06,BR,2022-08-03 23:48:21
129,Okhotsk,59.3833,143.3,57.67,85,100,3.94,RU,2022-08-03 23:49:32
130,Saskylakh,71.9167,114.0833,50.23,54,94,11.9,RU,2022-08-03 23:49:33
131,Ingham,42.6,-84.3833,71.78,95,100,6.91,US,2022-08-03 23:49:33
132,Presidencia Roque Saenz Pena,-26.7852,-60.4388,62.22,92,88,9.01,AR,2022-08-03 23:49:34
133,Agadir,30.4202,-9.5982,70.25,63,31,5.82,MA,2022-08-03 23:49:34
134,Hofn,64.2539,-15.2082,48.52,71,94,14.97,IS,2022-08-03 23:49:35
135,Waddan,29.1614,16.139,79.48,51,0,14.14,LY,2022-08-03 23:49:35
136,Albion,42.2431,-84.753,71.78,96,100,5.75,US,2022-08-03 23:50:35
137,Padang,-0.9492,100.3543,71.65,93,99,7.65,ID,2022-08-03 23:50:36
138,Rocha,-34.4833,-54.3333,53.96,96,100,4.32,UY,2022-08-03 23:50:36
139,Dombarovskiy,50.7587,59.5386,62.58,68,47,12.55,RU,2022-08-03 23:50:36
140,Rivera,-30.9053,-55.5508,60.82,98,100,8.72,UY,2022-08-03 23:50:37
141,Lao Cai,22.4833,103.95,78.64,94,40,1.34,VN,2022-08-03 23:50:37
142,Bambous Virieux,-20.3428,57.7575,68.25,77,40,9.22,MU,2022-08-03 23:50:37
143,Dalby,-27.1833,151.2667,69.98,57,27,3.0,AU,2022-08-03 23:50:38
144,Marystown,47.1666,-55.1483,66.85,100,35,3.0,CA,2022-08-03 23:50:38
145,Roma,43.2128,-75.4557,80.08,74,57,4.5,US,2022-08-03 23:50:38
146,Tuktoyaktuk,69.4541,-133.0374,51.8,82,20,11.5,CA,2022-08-03 23:50:39
147,Mehamn,71.0357,27.8492,55.9,82,66,9.62,NO,2022-08-03 23:50:39
148,Yatou,37.15,122.3833,82.63,85,1,8.77,CN,2022-08-03 23:50:39
149,Jacobina,-11.1806,-40.5183,68.9,70,19,7.63,BR,2022-08-03 23:50:40
150,Santa Fe,-31.6333,-60.7,56.01,91,100,11.01,AR,2022-08-03 23:50:40
151,Jalu,29.0331,21.5482,81.21,52,0,13.71,LY,2022-08-03 23:50:40
152,Luderitz,-26.6481,15.1594,53.73,92,0,11.32,NA,2022-08-03 23:50:41
153,Saint George,37.1041,-113.5841,99.19,25,0,4.61,US,2022-08-03 23:49:30
154,Acapulco,16.8634,-99.8901,84.15,73,59,4.41,MX,2022-08-03 23:50:41
155,Ancud,-41.8697,-73.8203,42.22,77,96,6.82,CL,2022-08-03 23:50:41
156,Inirida,3.8653,-67.9239,73.92,95,66,0.54,CO,2022-08-03 23:50:42
157,Plettenberg Bay,-34.0527,23.3716,57.49,89,92,6.24,ZA,2022-08-03 23:50:42
158,Geraldton,-28.7667,114.6,57.61,82,75,16.11,AU,2022-08-03 23:47:41
159,Traiguen,-38.25,-72.6833,41.61,93,36,4.52,CL,2022-08-03 23:47:01
160,Janesville,42.6828,-89.0187,83.08,75,95,1.99,US,2022-08-03 23:50:43
161,Saint-Philippe,-21.3585,55.7679,65.79,82,48,9.86,RE,2022-08-03 23:50:43
